RequirementId	Title	OriginalScope	MvpFinalClassification	ControlServerImpact	OnboardHmiImpact	SharedProtocolImpact	FullProductCluster	ClusterBasis	Batch	Batch0FormNote	PreviousBatch	ChangeProposal
REQ-0001	遵循 ADR-mes-0006 的边界：MesIngest 只拥有 MES 接入事实和外部可读目录，不拥有 …	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 直接必须	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 直接必须	BATCH-0		BATCH-0	
REQ-0002	遵循 ADR-mes-0007 的技术栈：全 C#、.NET 8 Windows Service、WPF 薄…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0003	正式 MES_TASK_UNION 仍是六类任务的开发与发布唯一查询原稿；生产代码不得复制一份会漂移的 SQ…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0004	MesTaskUnionRound 只有 SUCCESS、FAILURE、INCOMPLETE 三类结果。只…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0005	PollTraceId 及其规范化内容摘要构成轮次幂等边界；相同 id、相同内容不产生副作用，相同 id、不…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0006	每个 SUCCESS 使用一个 ProjectionCommit 原子提交轮次涉及的 PollTrace、D…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0007	原始行按稳定规范化内容排序后作为多重集合比较；数据库返回顺序本身不构成业务变化。	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0008	缺少 SUBLOT 或 TASK_TYPE 的行形成 UnassignedMesObservation 并归…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0009	DemandSeries 由大小写与空白规则明确的 TransportDemandKey（SUBLOT + …	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
REQ-0010	DemandSeries 第一次本地观察时开始，稳定 SeriesId 永不因 GONE、重现或归档后可见而…	8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录	MVP 交互／安全依赖	读取并冻结目录身份；不得重建 MES 事实。	仅展示服务端已接受的 Demand 摘要，不自行读取 MES。	需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。	FP-B0 批次 0 候选（MVP 已覆盖）	MVP 剖面 FinalClassification=MVP 交互／安全依赖	BATCH-0		BATCH-0	
