review_id	candidate_id	batch_id	source_record_id	source_path	exact_location	section_path	statement_text	source_context	statement_fingerprint	original_candidate_class	original_baseline_route	original_review_disposition	original_conflict_pointer	original_approval_state	post_conflict_disposition	resolution_pointer	review_rationale	review_fingerprint
PCR-0001	R01-A0003	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	paragraph P0003	document-root	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。时间估值为工作日口径，可按现场联调窗口调整；“依赖客户/IT”项的等待时间不计入本团队净工时。	2b21a1e382891cc7ed967027c57d5e4f84117c164fdb496206481396d0ad015f	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	68eba54e0ca95a3f6fa6b86ef50465d6d7aa9d6b3c70a8aa383b1711bb2f4475
PCR-0002	R01-A0004	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	paragraph P0003	document-root	时间估值为工作日口径，可按现场联调窗口调整；	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。时间估值为工作日口径，可按现场联调窗口调整；“依赖客户/IT”项的等待时间不计入本团队净工时。	043e1f8436b587e6bdc80248e6d8c62373b5a524f8ea541b5d8651cd09854df3	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	3a9cc61ec1b60a6537ccfa078501873e0e930fb7cb7e99a4c807cf3945eaecd5
PCR-0003	R01-A0005	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	paragraph P0003	document-root	“依赖客户/IT”项的等待时间不计入本团队净工时。	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。时间估值为工作日口径，可按现场联调窗口调整；“依赖客户/IT”项的等待时间不计入本团队净工时。	0b071e2a942f1c8e35455497ad484db2eb36ff3cd3b881928e1b83537b8b0ba9	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	e6b74539f96c4255ff315a2fa3c078d1b7f57e6814703a6bab4a0f4e7bd42cd5
PCR-0004	R01-A0006	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R002	一、总览	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	5d2fba63777b0cdee1684da23a1ad4c63b2bb8ed45fd77ba0131b601364e848f	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	77d51ccc709d2128886774fd3b2ffeb4e1469cf99cc323c2f7cbfa0336be3916
PCR-0005	R01-A0007	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R002	一、总览	现场验证不足；	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	2e54727f49e52beaa127c9ccb4bf291fdadd151925a913c68527a8bcf0ac5699	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	8ae77295a64a034f4b31eff503f4cca027688f01e868bdb063f8f315a5c6b3e9
PCR-0006	R01-A0008	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R002	一、总览	共晶排除清单；	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	2482b34fa7abb725e1a69f5b2d0734df372cfc17f9e8082e1b80b7f9f36d2885	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	c53d935efb4f460effe106c2204cde356c3cca65a3712d6106fd207eb1d24e33
PCR-0007	R01-A0009	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R002	一、总览	AREA清单	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	0bc8ba7ba993440e803dce8f319a3a712e5af800d3b9374afdfb67b9ec252604	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	0a38520bd59b7b64a0ca3f2e5e90e250bea791c011e9ab013a036d634505467b
PCR-0008	R01-A0010	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R003	一、总览	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；地图/路径API未测；可用API清单筛选中	17a6f5b04bce8b477cf6b639d77f199d5acd155a546674553f8df2f8736b3ae8	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	af68bdc669b9cbddc78b3cba71fd8eca19d3ff5cd74cbac194366154e629f3d9
PCR-0009	R01-A0011	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R003	一、总览	地图/路径API未测；	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；地图/路径API未测；可用API清单筛选中	8f87df8c7917b4d27e9416886234dbc3c3a4f1b041ae9caac698278950544718	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	0f801f0c08a77758869a7c3715deca2aec229b35a680c79bfa661621d065ea73
PCR-0010	R01-A0012	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	table T01 row R003	一、总览	可用API清单筛选中	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；地图/路径API未测；可用API清单筛选中	4ae40506d7764328f3f80818c53aa0488312e2e21020bed02f697f5098d79c31	unresolved-question	needs-question-resolution	hold-for-question-or-reframing	none-found-within-r01-pass	not-approved	duplicate-or-evidence-only	singleton	该行只记录标题、分类、历史待办/阻塞状态、问题索引、重复标签或收敛说明；保留作证据，不单独形成需求决定。	846b41ebe86c248ad0fcf3d90f03008f4aac748b8005e70eb3a1a4d8fdad570c
