derivation_id	child_source_record_id	parent_source_record_id	child_batch_id	parent_batch_id	candidate_rows_carrying_link	sample_candidate_ids	evidence_fragments	review_note
DRV-0001	R01-05	R01-04	R01	R01	546	R01-A0309,R01-A0310,R01-A0311,R01-A0312,R01-A0313,R01-A0314,R01-A0315,R01-A0316,R01-A0317,R01-A0318,R01-A0319,R01-A0320	internal-integration-of:R01-04	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0002	R01-05	R01-13	R01	R01	546	R01-A0309,R01-A0310,R01-A0311,R01-A0312,R01-A0313,R01-A0314,R01-A0315,R01-A0316,R01-A0317,R01-A0318,R01-A0319,R01-A0320	overlaps:R01-13,R01-17	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0003	R01-05	R01-17	R01	R01	546	R01-A0309,R01-A0310,R01-A0311,R01-A0312,R01-A0313,R01-A0314,R01-A0315,R01-A0316,R01-A0317,R01-A0318,R01-A0319,R01-A0320	overlaps:R01-13,R01-17	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0004	R01-07	R01-04	R01	R01	6	R01-A0855,R01-A0856,R01-A0857,R01-A0858,R01-A0859,R01-A0860	source-snapshot-index-for:R01-04	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0005	R01-08	R01-04	R01	R01	6	R01-A0861,R01-A0862,R01-A0863,R01-A0864,R01-A0865,R01-A0866	source-snapshot-index-for:R01-04	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0006	R01-09	R01-04	R01	R01	12	R01-A0867,R01-A0868,R01-A0869,R01-A0870,R01-A0871,R01-A0872,R01-A0873,R01-A0874,R01-A0875,R01-A0876,R01-A0877,R01-A0878	incremental-source-snapshot-for:R01-04,R01-05	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0007	R01-09	R01-05	R01	R01	12	R01-A0867,R01-A0868,R01-A0869,R01-A0870,R01-A0871,R01-A0872,R01-A0873,R01-A0874,R01-A0875,R01-A0876,R01-A0877,R01-A0878	incremental-source-snapshot-for:R01-04,R01-05	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0008	R01-13	R01-04	R01	R01	944	R01-A1037,R01-A1038,R01-A1039,R01-A1040,R01-A1041,R01-A1042,R01-A1043,R01-A1044,R01-A1045,R01-A1046,R01-A1047,R01-A1048	overlaps:R01-04,R01-05,R01-17,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0009	R01-13	R01-05	R01	R01	944	R01-A1037,R01-A1038,R01-A1039,R01-A1040,R01-A1041,R01-A1042,R01-A1043,R01-A1044,R01-A1045,R01-A1046,R01-A1047,R01-A1048	overlaps:R01-04,R01-05,R01-17,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0010	R01-13	R01-14	R01	R01	944	R01-A1037,R01-A1038,R01-A1039,R01-A1040,R01-A1041,R01-A1042,R01-A1043,R01-A1044,R01-A1045,R01-A1046,R01-A1047,R01-A1048	source-for:R01-14@2026-07-14	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0011	R01-13	R01-15	R01	R01	944	R01-A1037,R01-A1038,R01-A1039,R01-A1040,R01-A1041,R01-A1042,R01-A1043,R01-A1044,R01-A1045,R01-A1046,R01-A1047,R01-A1048	references:R01-15	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0012	R01-13	R01-17	R01	R01	944	R01-A1037,R01-A1038,R01-A1039,R01-A1040,R01-A1041,R01-A1042,R01-A1043,R01-A1044,R01-A1045,R01-A1046,R01-A1047,R01-A1048	overlaps:R01-04,R01-05,R01-17,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0013	R01-13	R01-19	R01	R01	944	R01-A1037,R01-A1038,R01-A1039,R01-A1040,R01-A1041,R01-A1042,R01-A1043,R01-A1044,R01-A1045,R01-A1046,R01-A1047,R01-A1048	overlaps:R01-04,R01-05,R01-17,R01-19	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0014	R01-14	R01-13	R01	R01	1718	R01-A1981,R01-A1981,R01-A1982,R01-A1982,R01-A1983,R01-A1983,R01-A1984,R01-A1984,R01-A1985,R01-A1985,R01-A1986,R01-A1986	generated-from:R01-13@2026-07-14 | not-equivalent-to-current-R01-13	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
DRV-0015	R01-14	R01-15	R01	R01	859	R01-A1981,R01-A1982,R01-A1983,R01-A1984,R01-A1985,R01-A1986,R01-A1987,R01-A1988,R01-A1989,R01-A1990,R01-A1991,R01-A1992	embeds:R01-15	文档声明的来源/重叠关系；不传递权威性或批准，逐条声明仍保留独立身份。
