"record_id"	"batch_id"	"path"	"sha256"	"bytes"	"inventory_snapshot_git_status"	"effective_snapshot_git_status"	"inventory_material_role"	"document_class"	"source_type"	"current_applicability"	"history_or_derivation"	"approval_named_authorizer"	"approval_date"	"approval_scope"	"approval_version_binding"	"document_approval_state"	"atomic_requirement_extraction_route"	"evidence_or_conflict_pointers"	"investigation_pointer"	"route_class"	"candidate_group_id"
"R01-01"	"R01"	"mes/宿迁长电AGV项目MES数据接口需求确认.md"	"d205a6816f8216bacd46f3527755fdc9a6767e50246bb8eedf54cad752a3753b"	"397"	"untracked"	"tracked-clean"	"candidate-source"	"已废弃内容的迁移指针/追踪辅助，不是需求权威源"	"已废弃内容的迁移指针/追踪辅助，不是需求权威源"	"无具名批准、批准日期、批准范围或版本绑定。迁移声明只证明仓库维护关系，不批准目标文档。当前项目中仅适合作为历史路径与迁移指针。 对其原有需求内容可判为“已有明确替代/迁移”；对指向的新正文仍无权威批准。文档级分类：**已废弃内容的迁移指针/追踪辅助，不是需求权威源**。"	"当前内容只有“文档已迁移”指针。Git 最早见于 `96eb203...`（2026-07-13 08:32:32+08:00），后经 `0b2246c...`、`48a74dc...`，在 `5718541...`（2026-07-16 22:04:27+08:00）改成迁移状态。 明确指定 [R01-04](../../../../mes/docs/宿迁长电AGV项目MES数据接口需求确认.md) 为“唯一维护版本”，并禁止维护第二份副本；本文件不再承载需求正文。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-from-this-document"	"不从本文件提取原子需求；所有候选转至 R01-04，并保留本路径作为迁移链证据。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-01"	"R01-customer-project-source-materials.md#R01-01"	"excluded"	""
"R01-02"	"R01"	"mes/AGV系统业务与MES任务模型.md"	"f3e89600fa496fb0a4fe7c66cf694debcfe20de84a8d9e0adda676b69a755c4a"	"212"	"untracked"	"tracked-clean"	"candidate-source"	"已废弃内容的迁移指针/追踪辅助，不是需求权威源"	"已废弃内容的迁移指针/追踪辅助，不是需求权威源"	"无具名批准或版本绑定；当前只适合作为迁移链证据。 文档级分类：**已废弃内容的迁移指针/追踪辅助，不是需求权威源**。"	"Git 最早见于 `96eb203...`，在 `5718541...`（2026-07-16）改为迁移指针。 明确指定 [R01-05](../../../../mes/docs/AGV系统业务与MES任务模型.md) 为“唯一维护版本”，禁止维护副本。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-from-this-document"	"不提取需求；候选转至 R01-05。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-02"	"R01-customer-project-source-materials.md#R01-02"	"excluded"	""
"R01-03"	"R01"	"mes/docs/待处理事项清单-MES-RIOT-应用.docx"	"966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e"	"43123"	"untracked"	"tracked-clean"	"candidate-source"	"来源未知的内部工作清单/历史状态证据"	"来源未知的内部工作清单/历史状态证据"	"没有签名、批准人、批准日期、批准范围或具体版本认可。文本中的“客户曾确认”“口头确认”“现场已确认”“IT 群已询问”等均未具名、未附记录；多处又明确“规则待书面确认”“待确认”。当前项目中可作为 2026-07-17 风险/沟通线索，不可作为当前需求或完成状态。 缺会议/群聊原文、参加者身份、口头确认主体、反馈日期及每项结论对应版本。文档级分类：**来源未知的内部工作清单/历史状态证据**。"	"正文自称“整理日期：2026-07-17”，是内部 MES、RIOT、应用和客户沟通待办汇总；Git 在 `e6dc9ea...`（2026-07-23 08:17:46+08:00）首次加入。OOXML `creator=python-docx`、`description=generated by python-docx`，且 core 时间为 python-docx 默认的 2013-12-23，不能当作真实形成时间；正文日期与首次 Git 捕获才是可核查的上下界线索。 单一 Git 版本，无修订标记、批注或嵌入媒体。内容记录“第六类 SQL 未反馈”等 2026-07-17 状态；R01-04/05 后续已经出现第六类任务，因此只能证明当时的待办快照，不能当作当前状态。此为有日期支持的时间范围差异，不是仅凭“较新文件”推断替代。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-atomic-decomposition-evidence-review-and-explicit-approval"	"按 `M-*`、`MC-*`、`R-*`、`RC-*`、`A-*`、`AC-*` 和第六章 6 项问题拆分；每项分别追到后续解决材料或保留为待确认，不把“建议动作”提取为客户需求。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-03"	"R01-customer-project-source-materials.md#R01-03"	"candidate"	"R01"
"R01-04"	"R01"	"mes/docs/宿迁长电AGV项目MES数据接口需求确认.md"	"294f2fff9b8bf58ff30b74f44dd1aab6f3551fcc505efed571890c0c23e9109b"	"14751"	"untracked"	"tracked-clean"	"candidate-source"	"来源未知的混合内部汇总（含客户来源声明、未确认标签和待确认项）"	"来源未知的混合内部汇总（含客户来源声明、未确认标签和待确认项）"	"**未发现合格的具名批准证据。** 第 4 节“已确认结论”没有确认人、日期、范围或文档哈希；第 5.1(3) 还明确把“当前 7 字段正式查询的最终版本、执行计划和客户批准记录”列为待确认。第 6 节规定未来 evidence 必须保存批准信息，反证本文件自述标签不能替代批准记录。 缺查询交付/批准原件、各“已确认结论”的具名决策记录、适用车辆/站点/上线版本绑定，以及引用 evidence 的完整核验。文档级分类：**来源未知的混合内部汇总（含客户来源声明、未确认标签和待确认项）**。"	"Git 在 `5718541...`（2026-07-16）加入 `mes/docs/`，后由 `ffe1f49...`（2026-07-27）和 `493ac5a...`（2026-07-31）修改。正文称记录业务问题、接口契约、已确认结论和待确认项，并称客户 IT 提供/批准查询；未附客户 IT 的姓名、授权、邮件、会议记录或批准对象哈希。 R01-01 明确把本文件指定为唯一维护版本；它又把机器可执行查询移到 `mes/catalog`/`mes/queries`，把生产证据移到 `mes/evidence`。因此本文件是业务/契约汇总，不是 SQL 字节本身；R01-06～09 是其声称的客户来源快照链的一部分。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-atomic-decomposition-evidence-review-and-explicit-approval"	"逐条拆分 1.2 六类任务、1.3 接入规则、1.4 消失处理、1.5 多仓位、1.6 AREA 映射、2.1～2.5 查询契约、3 性能/安全、4(1～8) 自称已确认结论与 5(1～12) 待确认项；每条绑定相应查询/证据哈希后再分类。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-04"	"R01-customer-project-source-materials.md#R01-04"	"candidate"	"R01"
"R01-05"	"R01"	"mes/docs/AGV系统业务与MES任务模型.md"	"8d9210c25ea5f260131b42d60eb0734b09d2db89b8258b20f7ce5fdbe88da487"	"59036"	"untracked"	"tracked-clean"	"candidate-source"	"来源未知的混合内部综合文档"	"来源未知的混合内部综合文档"	"**无。** 文档自定义“已确认/建议实现/待确认”标签，但没有任何标签对应的具名确认人、日期、授权范围或版本哈希。第 13 节保留大量待确认，第 13.3 又以日期写“决策”，仍未连接决策记录。 缺原始沟通记录、逐条标签来源、批准人/范围、内部链接的版本冻结与冲突裁决。没有证据证明本文由 AI 生成或修改；“用于 AI 协作”不能单独触发 AI 未确认分类。文档级分类：**来源未知的混合内部综合文档**。"	"文首称为设计、开发与 AI 协作上下文，整合 R01-04 的 MES 契约和“需求沟通中已经确认”的流程/规则。Git 最早来自根部 R01-02（`96eb203...`），在 `5718541...` 以 66% 相似度复制到 `mes/docs/`，后经 `e6dc9ea...`、`ffe1f49...`、`493ac5a...` 持续扩展；R01-02 随后成为迁移指针。 是迁移后维护版兼内部综合模型，不是 R01-04 的重复；它吸收 R01-04、内部 UC/BR/ADR 风格链接和开发约束。第 10 节还明确指出其 AREA 自动派生模型与既有 UC-024/BR-003 的人工版本化映射口径有差异，须后续统一评审。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-atomic-decomposition-evidence-review-and-explicit-approval"	"按第 3 节六类任务、第 4～7 节 MES 契约/状态、第 8～12 节多仓位/花篮/映射/流程/边界、第 13 节待定/关闭项和第 14 节实现约束拆分；第 10 节映射口径差异及第 13 节未决项进入后续冲突/待查清单。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-05"	"R01-customer-project-source-materials.md#R01-05"	"candidate"	"R01"
"R01-06"	"R01"	"mes/sources/customer/2026-07-16/mes-task-original-queries/README.md"	"65b681e80ac99b31dde74cddd01fd949bfbd70a809fc546dba959d25902e3637"	"1286"	"tracked-clean"	"tracked-clean"	"candidate-source"	"来源未知（带内部客户来源声明的快照索引）"	"来源未知（带内部客户来源声明的快照索引）"	"只声明“客户原始 SQL 快照”及实验/差异研究边界；没有具名批准。当前适用性仅能验证为追溯/实验来源说明，不能证明 SQL 业务规则当前有效或已批准。 缺交付身份、交付原件、批准记录及客户版本号。文档级分类：**来源未知（带内部客户来源声明的快照索引）**。"	"文内称 2026-07-16 从仓库既有五个 `original_queries` 归档客户原始 SQL；Git 在 `5718541...` 首次加入，`ffe1f49...`（2026-07-27）修改。未附客户姓名、交付邮件/会议纪要、原交付包哈希或归档操作者的可核查记录。 与 R01-09 是“五类旧快照/第六类新增快照”的并列、不覆盖关系；README 明确这些来源查询不进入运行时 catalog，正式查询指向 `MES_TASK_UNION`。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"do-not-extract-from-this-document"	"后续逐个关联实际 SQL 哈希与 R01-04/R01-05 中五类任务映射，核对字段、筛选、有效期和客户确认；README 本身不生成需求条目。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-06"	"R01-customer-project-source-materials.md#R01-06"	"excluded"	""
"R01-07"	"R01"	"mes/sources/customer/2026-07-16/operator-identity/README.md"	"ff0298b681634bf0bfea2be00b3caef471e1472a3499b25efb265e04edeb1a15"	"793"	"tracked-clean"	"tracked-clean"	"candidate-source"	"来源未知（局部派生关系可核查的来源快照说明）"	"来源未知（局部派生关系可核查的来源快照说明）"	"自述的“正式”不是批准证据。适用边界明确为追溯和差异研究、不得运行时加载。 缺原始交付、版本/哈希链、具名批准和权限范围。文档级分类：**来源未知（局部派生关系可核查的来源快照说明）**。"	"`5718541...` 首次加入。称来源是客户提供且写入 R01-04 第 7 节的查询定义与旧路径 SQL；未具名客户提供者或交接证据。 把 `query.sql` 定义为 2026-07-16 当时“最新正式 SQL”的来源快照，并明确不是另一个正式版本；运行时对应 `OP_OPERATOR_IDENTITY` 查询包。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-atomic-decomposition-evidence-review-and-explicit-approval"	"核对 R01-04 第 7 节、旧 SQL、快照 SQL、正式查询包四方差异；把“工号→姓名/权限边界”拆分处理。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-07"	"R01-customer-project-source-materials.md#R01-07"	"candidate"	"R01"
"R01-08"	"R01"	"mes/sources/customer/2026-07-16/sublot-box-count/README.md"	"019aa8030935017b0ed86982f1fe76d5ef9ff39d54a9a28c36ebff0885988cd2"	"784"	"tracked-clean"	"tracked-clean"	"candidate-source"	"来源未知（局部派生关系可核查的来源快照说明）"	"来源未知（局部派生关系可核查的来源快照说明）"	"只明确追溯/研究用途并禁止运行时依赖；不能证明查询逻辑当前有效。 文档级分类：**来源未知（局部派生关系可核查的来源快照说明）**。"	"`5718541...` 首次加入。称来源是客户提供且写入 R01-04 第 6 节的查询定义与旧路径 SQL；没有交接人或客户批准证据。 `query.sql` 是 2026-07-16 来源快照，不另立正式版本；运行时对应 `SUBLOT_BOX_COUNT` 查询包。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-atomic-decomposition-evidence-review-and-explicit-approval"	"核对 R01-04 第 6 节和查询文件，分别提取输入键、计数语义、缺失/多行处理及适用产品范围。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-08"	"R01-customer-project-source-materials.md#R01-08"	"candidate"	"R01"
"R01-09"	"R01"	"mes/sources/customer/2026-07-24/mes-task-original-queries/README.md"	"3c94d4580f4f4e25ab3cf4a34ad4b1675384a07da70a19d78f98b0986c55b070"	"1195"	"tracked-clean"	"tracked-clean"	"candidate-source"	"来源未知（带内部客户来源声明的增量快照索引）"	"来源未知（带内部客户来源声明的增量快照索引）"	"没有具名客户、批准范围或原交付包。当前只可作为新增来源的内部归档声明。 文档级分类：**来源未知（带内部客户来源声明的增量快照索引）**。"	"文内称归档客户新增第六类 `WIRE_TO_NITROGEN` SQL；Git 在 `ffe1f49...`（2026-07-27）以与 R01-06 54% 相似复制加入。目录日期不是交付批准日期证据。 明确补充 R01-06 的五类快照且不覆盖；两份 README 共享用途/运行边界文字，实际 SQL 合并到同一 `MES_TASK_UNION` 正式查询。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-atomic-decomposition-evidence-review-and-explicit-approval"	"将第六类的业务方向、筛选条件、字段和生效时间单独与 R01-04/R01-05 对齐，不能因“新增”自动覆盖或扩展前五类。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-09"	"R01-customer-project-source-materials.md#R01-09"	"candidate"	"R01"
"R01-10"	"R01"	"project_agreements/20260527-新基智能AGV小车技术协议-TR前线.docx"	"695a2a10310e53d6b15df52e865a0222127943ec204bdd46269b36dcd28ef32f"	"54714"	"untracked"	"tracked-clean"	"candidate-source"	"来源未知的未生效/未签署技术协议候选"	"来源未知的未生效/未签署技术协议候选"	"**未批准。** 签约日期、合同号、甲乙方盖章、双方技术代表人、电话等均为空。正文第 10.6(32) 要求双方签字后生效，第 10.6(33) 要求长电设备处评审和技术负责人签字，第 12.1 又要求双方签字盖章；当前 OOXML 未见这些完成证据。`lastModifiedBy` 不能替代签字或授权。 缺签字盖章页、DCC/评审记录、有效合同附件关系、合同号、签订日期和最终不可变版本。文档级分类：**来源未知的未生效/未签署技术协议候选**。"	"OOXML 标题为“设备技术协议签订书”，列甲方长电科技（宿迁）有限公司、乙方江阴新基电子设备有限公司；core 元数据 `creator=NTKO`、`lastModifiedBy=Wu Shuo 吴硕(D8-TR前线设备)`、创建 2024-12-03、修改 2026-05-26。文件名写 20260527，Git 在 `96eb203...`（2026-07-13）首次捕获。上述时间/作者只算元数据，不是批准。"	"not-found"	"not-found"	"not-found"	"not-found"	"not-approved-by-this-classification"	"candidate-only-after-atomic-decomposition-evidence-review-and-explicit-approval"	"优先拆第 4 条项目范围、第 10.1 基本配置、第 10.4 性能、第 10.6 售后/生效、第 10.7～10.9 验收；模板通用条款与已填项目特定条款分开，签署状态补齐前均不得批准。; detailed evidence gaps and any conflict candidates: R01-customer-project-source-materials.md section R01-10"	"R01-customer-project-source-materials.md#R01-10"	"candidate"	"R01"
