"candidate_id"	"batch_id"	"source_record_id"	"source_path"	"source_sha256"	"exact_location"	"section_path"	"statement_text"	"source_context"	"statement_fingerprint"	"candidate_class"	"source_claim_status"	"applicable_scope"	"baseline_route"	"duplicate_or_derivation"	"conflict_pointer"	"approval_state"	"approval_gap"
"R02-A0001"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 5"	"系统上下文与边界 System Context > 1. 文档目的"	"本文档从外部视角说明多仓位 AGV 系统（以下简称“本系统”）与现场用户、MES、RCS/RIOT、AGV 及格口硬件之间的关系，用于统一项目参与方对系统职责、接口方向和边界的理解。"	"本文档从外部视角说明多仓位 AGV 系统（以下简称“本系统”）与现场用户、MES、RCS/RIOT、AGV 及格口硬件之间的关系，用于统一项目参与方对系统职责、接口方向和边界的理解。"	"2e333140a29d0069e3ca84977c85c794c5a4779639b357dfe4177c36efdaa3b7"	"document-governance-evidence"	"unknown-source-internal-synthesis"	"MES-integration-and-transport-demand"	"evidence-only"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0002"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 7"	"系统上下文与边界 System Context > 1. 文档目的"	"本系统包括本地服务、业务应用、操作界面、本地数据库及其接口服务。"	"本系统包括本地服务、业务应用、操作界面、本地数据库及其接口服务。图中的 MES、RCS/RIOT、AGV、IO 模块、电子锁和光幕均不属于本系统。"	"ab31ce81324533b4fd2f9a118d7af93f54801f63dbb18db3f3c7438c47973a4d"	"document-governance-evidence"	"unknown-source-internal-synthesis"	"8005-project-cross-domain"	"evidence-only"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0003"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 7"	"系统上下文与边界 System Context > 1. 文档目的"	"图中的 MES、RCS/RIOT、AGV、IO 模块、电子锁和光幕均不属于本系统。"	"本系统包括本地服务、业务应用、操作界面、本地数据库及其接口服务。图中的 MES、RCS/RIOT、AGV、IO 模块、电子锁和光幕均不属于本系统。"	"be53e05d115734bfaba80505f1bfdd12ec69666a27c480c5c1ff7ef8ff152036"	"document-governance-evidence"	"unknown-source-internal-synthesis"	"MES-integration-and-transport-demand"	"evidence-only"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0004"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 49"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.1 现场用户"	"现场操作人员通过本系统完成身份认证、扫码、装料、取料、交接确认及相关任务操作。"	"现场操作人员通过本系统完成身份认证、扫码、装料、取料、交接确认及相关任务操作。"	"36ddcd8a58dead80f93ef1c4281d4ab603df3e292078ec9b07c01fa719c3cec3"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"identity-access-and-audit"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0005"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 50"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.1 现场用户"	"管理和维护人员通过本系统查看任务与设备状态、处理异常、查询日志，并在授权范围内维护配置。"	"管理和维护人员通过本系统查看任务与设备状态、处理异常、查询日志，并在授权范围内维护配置。"	"ce4f1655b2f562eaf3d54d19e9f3eb48d4b7730a05e73c392cd4b0d2ef1a8e3f"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"8005-project-cross-domain"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0006"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 51"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.1 现场用户"	"各类用户的具体职责和权限见 [[stakeholders-and-user-classes|干系人与用户角色清单]]。"	"各类用户的具体职责和权限见 [[stakeholders-and-user-classes|干系人与用户角色清单]]。"	"ea1c04a229da48c290f6ce5646ceebcd17d5c4e29d183cae3d1eb059e82bf4b7"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"identity-access-and-audit"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0007"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 55"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.2 MES"	"本系统从 MES 获取搬运任务及任务生成、校验所需的生产数据，并在本地完成解析、去重和任务转换。"	"本系统从 MES 获取搬运任务及任务生成、校验所需的生产数据，并在本地完成解析、去重和任务转换。"	"658d7f6d4bd8aaba06d0ed9e1ec7253e557196a18bc4e12b6eb14b09850f3c0c"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"MES-integration-and-transport-demand"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0008"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 56"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.2 MES"	"当前阶段本系统只读查询 MES，不做任何回写。"	"当前阶段本系统只读查询 MES，不做任何回写。未来是否回写留作远期评估事项，评审确认前不得实现 MES 写操作。"	"5c7a98eb22e87aa1be64243070ca5c0aa3e3b09207f3bba5be2eb394efa985db"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"MES-integration-and-transport-demand"	"hold-for-conflict-decision"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"CF-R01-002"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0009"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 56"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.2 MES"	"未来是否回写留作远期评估事项，评审确认前不得实现 MES 写操作。"	"当前阶段本系统只读查询 MES，不做任何回写。未来是否回写留作远期评估事项，评审确认前不得实现 MES 写操作。"	"4bffd251df0ff2da77ed1d14546438b34799586ddf2a5862c08162265f0780a9"	"unresolved-question"	"unknown-source-internal-synthesis"	"MES-integration-and-transport-demand"	"needs-question-resolution"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"CF-R01-002"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
"R02-A0010"	"R02"	"R02-07"	"requirement-documents/00-vision/system-context.md"	"60e2206dc80d105c92db91f519b4ffb7df50cadcca9340eb9481bb3777aeee65"	"line 57"	"系统上下文与边界 System Context > 3. 外部交互说明 > 3.2 MES"	"MES 是生产业务数据的权威来源，本系统不替代 MES 管理生产工艺或生产主数据。"	"MES 是生产业务数据的权威来源，本系统不替代 MES 管理生产工艺或生产主数据。"	"21fac29757a848c713735b3bae505bbbd981cf29c426703ae19b828cd74025a2"	"system-boundary-or-interface-candidate"	"unknown-source-internal-synthesis"	"MES-integration-and-transport-demand"	"needs-source-and-explicit-approval"	"unknown-source-internal-boundary-synthesis; references:R02-09,R02-12,R02-13,R02-14,R02-15,R02-24,R02-26"	"none-found-within-r02-pass"	"not-approved"	"named-approver;approval-date;approved-scope;version-or-sha256-binding"
