candidate_id	batch_id	source_record_id	source_path	source_sha256	exact_location	section_path	statement_text	source_context	statement_fingerprint	candidate_class	source_claim_status	applicable_scope	baseline_route	duplicate_or_derivation	conflict_pointer	approval_state	approval_gap	exact_text_sha256	semantic_normalized_sha256	exact_text_cluster_id	normalized_text_cluster_id	semantic_review_cluster_id	relation_to_cluster_representative	review_disposition	approval_batch_id	graduate_conflict_pointers	version_scope_pointers
R01-A0001	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	paragraph P0001	document-root	宿迁长电多仓位AGV项目 待处理事项清单	宿迁长电多仓位AGV项目 待处理事项清单	f0e58c9e4fc480ace0eea1cd58e55497e3c29dee143b51cfc72b5c4286095d27	historical-state-evidence	historical-worklist	dispatch-and-fleet,onboard-and-site-operations	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	794d655282fbc4c32ac1d979f0eabf87274d03923d348a5b87cc5ac3e6ed3944	f0462c75ba20577ad72c7a539b6ff280a6f7f07be2b1f76459378594174eedb1				singleton	evidence-only			
R01-A0002	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	paragraph P0002	document-root	整理日期：2026-07-17 ｜ 本周重点：推进 MES / RIOT 文档与验证	整理日期：2026-07-17 ｜ 本周重点：推进 MES / RIOT 文档与验证	391e3b794759bf89a16e023fd118f801a8330b4066cff6e3198b3392c762e0d5	historical-state-evidence	historical-worklist	MES-integration,dispatch-and-fleet,onboard-and-site-operations	evidence-only	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	3d472ae2a255584649a72bc442658cd51f89c2d004228717cf84d9b12b7751d2	37a483fe5fc5ee274b8156bcb3e50b7c543d0a715156e6b44a5ae78cd7acc94d				singleton	evidence-only			
R01-A0003	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	paragraph P0003	document-root	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。时间估值为工作日口径，可按现场联调窗口调整；“依赖客户/IT”项的等待时间不计入本团队净工时。	2b21a1e382891cc7ed967027c57d5e4f84117c164fdb496206481396d0ad015f	unresolved-question	historical-worklist	MES-integration,dispatch-and-fleet,onboard-and-site-operations	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	0144fa4501e8623ca9aac2072c4f7a23a9c6dedda2f080537219337e587e0d20	c0704e640c637177358ea14d0c08f5ae1d41b9b371b9cdf35f73c224519dd1ef				singleton	hold-for-question-or-reframing			
R01-A0004	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	paragraph P0003	document-root	时间估值为工作日口径，可按现场联调窗口调整；	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。时间估值为工作日口径，可按现场联调窗口调整；“依赖客户/IT”项的等待时间不计入本团队净工时。	043e1f8436b587e6bdc80248e6d8c62373b5a524f8ea541b5d8651cd09854df3	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	043e1f8436b587e6bdc80248e6d8c62373b5a524f8ea541b5d8651cd09854df3	42bff9120494e6336d1781b2f1250c67d3cb59a7d38dcd19fe57e2529c4a4361				singleton	hold-for-question-or-reframing			
R01-A0005	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	paragraph P0003	document-root	“依赖客户/IT”项的等待时间不计入本团队净工时。	说明：本文档汇总当前 MES、RIOT、应用侧待办，并标出预计时间与需对外沟通协调的事项。时间估值为工作日口径，可按现场联调窗口调整；“依赖客户/IT”项的等待时间不计入本团队净工时。	0b071e2a942f1c8e35455497ad484db2eb36ff3cd3b881928e1b83537b8b0ba9	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	d64134a27f126f4c50ea0b63c0b17eb1a090ca32a29b6ae5e2e067d2ad869ff4	5209b3044b159ae51b69321cb5d4d6c28e8ffd151f88cbd94aa6cc2e50cdf2f8				singleton	hold-for-question-or-reframing			
R01-A0006	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R002	一、总览	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	5d2fba63777b0cdee1684da23a1ad4c63b2bb8ed45fd77ba0131b601364e848f	unresolved-question	historical-worklist	MES-integration	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	d7ff583504c90eb85aee395da7896702e3e7749ff66074b6e321d27af35fdf07	e139a5b7f110b6ee88e70a40c302411e9a913f6454ed70baafe4c8beaa1d7758				singleton	hold-for-question-or-reframing			
R01-A0007	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R002	一、总览	现场验证不足；	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	2e54727f49e52beaa127c9ccb4bf291fdadd151925a913c68527a8bcf0ac5699	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	2e54727f49e52beaa127c9ccb4bf291fdadd151925a913c68527a8bcf0ac5699	24505c719973f11e1ca7aea38cd46b285b6489edc5408696d2a22fb39cd8e32e				singleton	hold-for-question-or-reframing			
R01-A0008	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R002	一、总览	共晶排除清单；	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	2482b34fa7abb725e1a69f5b2d0734df372cfc17f9e8082e1b80b7f9f36d2885	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	2482b34fa7abb725e1a69f5b2d0734df372cfc17f9e8082e1b80b7f9f36d2885	2ca2da076415d88a6f22b77c01116c5a86c0c3a03ff776a4341fc70fbbeb892d				singleton	hold-for-question-or-reframing			
R01-A0009	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R002	一、总览	AREA清单	类别=MES | 待处理项数=8 | 本周优先=是 | 主要阻塞=第六类任务SQL未反馈；现场验证不足；共晶排除清单；AREA清单	0bc8ba7ba993440e803dce8f319a3a712e5af800d3b9374afdfb67b9ec252604	unresolved-question	historical-worklist	project-governance	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	0a30a80b1445c79e8ce2398847a2be8720e20cf8d60449851ae1e4c9e558971f	0bc8ba7ba993440e803dce8f319a3a712e5af800d3b9374afdfb67b9ec252604				singleton	hold-for-question-or-reframing			
R01-A0010	R01	R01-03	mes/docs/待处理事项清单-MES-RIOT-应用.docx	966aec692696684299439c170b1a88dab7e9a3b3c0820c8c6417542d6c83980e	table T01 row R003	一、总览	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；	类别=RIOT API | 待处理项数=5 | 本周优先=是 | 主要阻塞=订单状态契约未探明；地图/路径API未测；可用API清单筛选中	17a6f5b04bce8b477cf6b639d77f199d5acd155a546674553f8df2f8736b3ae8	unresolved-question	historical-worklist	dispatch-and-fleet,onboard-and-site-operations	needs-question-resolution	historical-worklist; statements that prescribe a suggested action are not customer requirements	none-found-within-r01-pass	not-approved	named-approver;approval-date;approved-scope;version-or-sha256-binding	73b5238f86ef29a1c04f97469817d3ee7653c28958f5c6d330d6518ffdbd150d	3747281ded9c5916791d984c952db78a0b3ff1959319cb5c6281e00fee75590a				singleton	hold-for-question-or-reframing			
