"RequirementId"	"Source"	"Title"	"OriginalScope"	"CandidateClassification"	"FinalClassification"	"FinalReason"	"DependencyChain"	"MisclassificationRisk"	"ControlServerImpact"	"OnboardHmiImpact"	"SharedProtocolImpact"	"DecisionBasis"
"REQ-0001"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0001"	"遵循 ADR-mes-0006 的边界：MesIngest 只拥有 MES 接入事实和外部可读目录，不拥有 …"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 直接必须"	"MVP 直接必须"	"复核 02～11 票最终决议后保留候选结论：该条直接约束单 WIRE_TO_GATE 旅程的MesIngest 目录与 Demand 事实；候选纳入首期，精确字段/状态仍由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)收口。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删会使MesIngest 目录与 Demand 事实主旅程或现场验收无法闭环，并可能造成重复执行、错误站点/仓位或不可证明完成。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0002"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0002"	"遵循 ADR-mes-0007 的技术栈：全 C#、.NET 8 Windows Service、WPF 薄…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0003"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0003"	"正式 MES_TASK_UNION 仍是六类任务的开发与发布唯一查询原稿；生产代码不得复制一份会漂移的 SQ…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0004"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0004"	"MesTaskUnionRound 只有 SUCCESS、FAILURE、INCOMPLETE 三类结果。只…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0005"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0005"	"PollTraceId 及其规范化内容摘要构成轮次幂等边界；相同 id、相同内容不产生副作用，相同 id、不…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0006"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0006"	"每个 SUCCESS 使用一个 ProjectionCommit 原子提交轮次涉及的 PollTrace、D…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0007"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0007"	"原始行按稳定规范化内容排序后作为多重集合比较；数据库返回顺序本身不构成业务变化。"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0008"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0008"	"缺少 SUBLOT 或 TASK_TYPE 的行形成 UnassignedMesObservation 并归…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0009"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0009"	"DemandSeries 由大小写与空白规则明确的 TransportDemandKey（SUBLOT + …"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
"REQ-0010"	"../../../requirements/baselines/current-requirements-v1.0.0.md#req-0010"	"DemandSeries 第一次本地观察时开始，稳定 SeriesId 永不因 GONE、重现或归档后可见而…"	"8005 MesIngest Windows Service、Host/领域投影、SQL Server、版本化 API/OpenAPI、MesIngestWatch 与外部可读目录"	"MVP 交互／安全依赖"	"MVP 交互／安全依赖"	"复核 02～11 票最终决议后保留候选结论：不要求在首期重建该条全部产品面，但MesIngest 目录与 Demand 事实中的事实、门禁或恢复语义是本旅程正确性/安全性的前置依赖；由决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)确认最小保留部分。"	"MesIngest 完整轮次→ExternallyReadableDemandCatalog/CatalogRevision→AcceptedDemandSnapshot→本地执行身份"	"误删可能让MesIngest 目录与 Demand 事实出现权威分叉、物理状态猜测、断联后重复副作用或无法恢复；误当完整首期功能则扩大范围。"	"读取并冻结目录身份；不得重建 MES 事实。"	"仅展示服务端已接受的 Demand 摘要，不自行读取 MES。"	"需要携带已接受执行身份和必要来源修订，不复制 MesIngest DTO。"	"决定 Demand 受理、执行身份与完成后防重边界 (../issues/02-decide-demand-acceptance-execution-identity-and-completion-deduplication.md)"
