cluster_id	representative_candidate_id	member_count	batch_count	source_count	relation_types	review_dispositions	applicable_scopes	version_scope_pointers	member_candidate_ids	representative_statement	review_note
SC-0001	R01-A0160	2	2	2	normalized-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | slot-hardware-and-material-handling		R01-A0160,R02-A0952	出柜后再上焊线2由 `STAGING_TO_WIRE` 覆盖）。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0002	R01-A0168	2	1	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet		R01-A0168,R01-A0462	EQP 和 AREA 仅去除首尾空格，不补零、不改变大小写；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0003	R01-A0169	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0169,R02-A0849	例如 `D4-06` 与 `D04-06` 是不同位置。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0004	R01-A0171	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations | MES-integration-and-transport-demand		R01-A0171,R02-A0853	任务首次创建后冻结 EQP、AREA、DATES、起终点与 `station_name`；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0005	R01-A0181	3	1	2	exact-text-duplicate,normalized-text-duplicate	approval-candidate-not-approved,excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet		R01-A0181,R01-A0556,R01-A0793	保护期内消失计数仍累加。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0006	R01-A0183	2	1	2	exact-text-duplicate	approval-candidate-not-approved,excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet		R01-A0183,R01-A0795	空关无明细不保护。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0007	R01-A0186	2	1	2	exact-text-duplicate	approval-candidate-not-approved,excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet		R01-A0186,R01-A0547	本趟占用为 0 时「开始运送」灰掉不可点。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0008	R01-A0194	2	2	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet | MES-integration-and-transport-demand		R01-A0194,R02-A0872	消失计数、最后正常非 0 数量、连续恢复次数和保护状态必须持久化。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0009	R01-A0196	2	1	2	exact-text-duplicate	approval-candidate-not-approved,excluded-not-for-requirement-approval	MES-integration,dispatch-and-fleet		R01-A0196,R01-A0817	固定上线基线时间为 `2026-08-01 00:00:00`，由应用层过滤；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0010	R01-A0198	2	2	2	exact-text-duplicate	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations | MES-integration-and-transport-demand		R01-A0198,R02-A0902	一个 SUBLOT 可对应一个或多个花篮；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0011	R01-A0202	2	1	2	exact-text-duplicate	approval-candidate-not-approved,hold-for-question-or-reframing	MES-integration,dispatch-and-fleet | MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0202,R01-A0739	当前车型暂定 8 仓，程序不得写死。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0012	R01-A0205	2	1	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0205,R01-A0764	操作员输入 SUBLOT 后，以 `SUBLOT_BOX_COUNT` 查询结果、任务冻结的 `PACKAGE` 和批准的容量对照换算 V1 权威 `ExpectedBasketCount`；	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
SC-0013	R01-A0206	2	1	2	semantic-near-review	approval-candidate-not-approved	MES-integration,dispatch-and-fleet,onboard-and-site-operations		R01-A0206,R01-A0348	该数量不可由操作员或车载端修改。	仅供共同审阅；保留每条来源、范围、版本与批准状态，不自动合并或删除。
