"candidate_group_id"	"candidate_group_title"	"batch_id"	"total_documents"	"candidate_documents"	"blocked_documents"	"excluded_documents"	"candidate_record_ids"	"required_gate"	"proposed_ticket_title"	"processing_boundary"
"R01"	"客户、项目协议与原始输入候选"	"R01"	"19"	"13"	"0"	"6"	"R01-03,R01-04,R01-05,R01-07,R01-08,R01-09,R01-10,R01-11,R01-13,R01-14,R01-15,R01-17,R01-19"	"合并并核验文档级证据分类账"	"拆分并分类客户、项目协议与原始输入的原子候选"	"按独立声明拆分，保留客户来源、讨论稿、内部推导和待确认的差异；不把自称关闭或未签署协议当作批准。"
"R02"	"需求框架、愿景与业务规则候选"	"R02"	"27"	"19"	"0"	"8"	"R02-07,R02-08,R02-09,R02-10,R02-11,R02-12,R02-13,R02-14,R02-15,R02-16,R02-17,R02-18,R02-19,R02-20,R02-21,R02-22,R02-23,R02-24,R02-26"	"合并并核验文档级证据分类账"	"拆分并分类需求框架、愿景与业务规则的原子候选"	"只处理已路由候选文档；结构模板、导航索引和纯参考目录不从自身提取。"
"R03"	"用例与流程候选"	"R03"	"48"	"46"	"0"	"2"	"R03-01,R03-02,R03-03,R03-04,R03-05,R03-06,R03-07,R03-08,R03-09,R03-10,R03-11,R03-12,R03-13,R03-14,R03-15,R03-16,R03-17,R03-18,R03-19,R03-20,R03-21,R03-22,R03-23,R03-24,R03-25,R03-26,R03-27,R03-28,R03-29,R03-30,R03-31,R03-32,R03-33,R03-34,R03-35,R03-36,R03-37,R03-38,R03-39,R03-40,R03-41,R03-42,R03-43,R03-44,R03-45,R03-46"	"合并并核验文档级证据分类账"	"拆分并分类用例与流程的原子候选"	"按流程和可独立判断的行为拆分，先分离业务候选与内部设计推演。"
"R04"	"功能需求候选"	"R04"	"41"	"31"	"0"	"10"	"R04-01,R04-02,R04-03,R04-04,R04-05,R04-06,R04-07,R04-08,R04-09,R04-10,R04-11,R04-12,R04-13,R04-14,R04-15,R04-16,R04-17,R04-18,R04-19,R04-20,R04-21,R04-22,R04-23,R04-24,R04-25,R04-26,R04-27,R04-28,R04-29,R04-30,R04-31"	"合并并核验文档级证据分类账"	"拆分并分类功能需求的原子候选"	"按功能声明和验收条件拆分，保留上游 UC/BR 指针并在批准前去重。"
"R05"	"现场操作验收场景候选"	"R05"	"67"	"67"	"0"	"0"	"R05-01,R05-02,R05-03,R05-04,R05-05,R05-06,R05-07,R05-08,R05-09,R05-10,R05-11,R05-12,R05-13,R05-14,R05-15,R05-16,R05-17,R05-18,R05-19,R05-20,R05-21,R05-22,R05-23,R05-24,R05-25,R05-26,R05-27,R05-28,R05-29,R05-30,R05-31,R05-32,R05-33,R05-34,R05-35,R05-36,R05-37,R05-38,R05-39,R05-40,R05-41,R05-42,R05-43,R05-44,R05-45,R05-46,R05-47,R05-48,R05-49,R05-50,R05-51,R05-52,R05-53,R05-54,R05-55,R05-56,R05-57,R05-58,R05-59,R05-60,R05-61,R05-62,R05-63,R05-64,R05-65,R05-66,R05-67"	"合并并核验文档级证据分类账"	"拆分并分类现场操作验收场景的原子候选"	"按场景级验收声明拆分，将业务验收与接口、安全及内部设计主张分开。"
"R06"	"仓位、硬件与车队验收候选"	"R06"	"65"	"52"	"4"	"9"	"R06-01,R06-02,R06-07,R06-08,R06-09,R06-10,R06-11,R06-12,R06-13,R06-14,R06-15,R06-16,R06-17,R06-18,R06-19,R06-20,R06-21,R06-22,R06-23,R06-24,R06-25,R06-26,R06-27,R06-28,R06-29,R06-30,R06-31,R06-32,R06-33,R06-34,R06-35,R06-36,R06-37,R06-38,R06-39,R06-40,R06-41,R06-42,R06-43,R06-44,R06-45,R06-46,R06-47,R06-48,R06-49,R06-50,R06-51,R06-52,R06-53,R06-54,R06-55,R06-56"	"合并并核验文档级证据分类账；4 份上游漂移旧稿不在候选组内"	"拆分并分类仓位、硬件与车队验收的原子候选"	"只处理 52 份未阻塞测试草案；4 份漂移旧稿继续隔离，直到重写或明确绑定上游版本。"
"R07"	"非功能需求候选"	"R07"	"15"	"2"	"0"	"13"	"R07-03,R07-04"	"合并并核验文档级证据分类账"	"拆分并分类非功能需求的原子候选"	"按 fit criterion 拆分仅 2 份候选；追溯、索引和空占位不从自身提取。"
"R08"	"跨域词汇、业务与物理事实候选"	"R08"	"57"	"19"	"0"	"38"	"R08-01,R08-16,R08-19,R08-37,R08-38,R08-40,R08-41,R08-42,R08-43,R08-44,R08-45,R08-47,R08-48,R08-50,R08-53,R08-54,R08-55,R08-56,R08-57"	"合并并核验文档级证据分类账；确定领域词汇唯一入口与旧术语表关系"	"拆分并分类跨域词汇、业务与物理事实的原子候选"	"必须把词汇、领域事实、业务规则、物理约束和设计决定分开；获批词汇走 CONTEXT.md 闭环。"
"R09"	"MES 与 SDK 业务/外部约束候选"	"R09"	"18"	"12"	"0"	"6"	"R09-01,R09-02,R09-03,R09-04,R09-05,R09-06,R09-07,R09-08,R09-11,R09-13,R09-17,R09-18"	"合并并核验文档级证据分类账"	"拆分并分类 MES 与 SDK 业务及外部约束的原子候选"	"先分离业务、外部契约、安全主张与本地设计；纯技术决定不进入需求批准。"
"R10"	"仓位模拟器范围需求候选"	"R10"	"46"	"16"	"0"	"30"	"R10-03,R10-04,R10-05,R10-06,R10-07,R10-08,R10-09,R10-10,R10-11,R10-12,R10-13,R10-14,R10-15,R10-16,R10-17,R10-18"	"合并并核验文档级证据分类账"	"拆分并分类仓位模拟器范围需求的原子候选"	"仅拆分模拟器自身候选；主系统、供应商、设计、测试与实施计划不从规划文本反推。"
"R11"	"MES 数据、查询与工厂验证候选"	"R11"	"11"	"6"	"0"	"5"	"R11-03,R11-04,R11-05,R11-07,R11-09,R11-11"	"合并并核验文档级证据分类账；决定工厂 MES 验证的批准与完整性证据门槛"	"拆分并分类 MES 数据、查询与工厂验证的原子候选"	"将外部数据契约、查询设计、容量与装载安全、验收条件及限定环境现状分开。"
"R12"	"历史本地 spec 中的需求摘要候选"	"R12"	"50"	"2"	"0"	"48"	"R12-17,R12-50"	"合并并核验文档级证据分类账"	"拆分并分类历史本地 spec 需求摘要的原子候选"	"仅处理 2 份混合 spec，按 story/语义拆分并追溯上游；48 张实施与修复票只作历史证据。"
"R13"	"RIoT 受控接口、集成与物模型候选"	"R13"	"26"	"16"	"0"	"10"	"R13-01,R13-04,R13-05,R13-06,R13-07,R13-08,R13-09,R13-10,R13-11,R13-12,R13-13,R13-14,R13-15,R13-16,R13-17,R13-18"	"补齐 RIoT 目标环境与受控接口快照证据；决定 RIoT 项目 API 白名单与调用安全边界；补齐 standard.oasis.300ul 物模型枚举证据；决定未知物模型枚举值的项目处理规则"	"拆分并分类 RIoT 受控接口、集成与物模型的原子候选"	"14 份 schema 必须先绑定受控环境与版本并获得 API 白名单；物模型与集成笔记分离外部事实、项目行为及本地设计。"
