relation_id	relation_type	left_candidate_id	right_candidate_id	left_batch_id	right_batch_id	left_source_record_id	right_source_record_id	semantic_score	trigram_dice	bigram_dice	identifier_jaccard	scope_relation	version_relation	shared_identifiers	review_action
REL-00001	exact-text-duplicate	R01-A0181	R01-A0793	R01	R01	R01-04	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00002	exact-text-duplicate	R01-A0183	R01-A0795	R01	R01	R01-04	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00003	exact-text-duplicate	R01-A0186	R01-A0547	R01	R01	R01-04	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00004	exact-text-duplicate	R01-A0196	R01-A0817	R01	R01	R01-04	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00005	exact-text-duplicate	R01-A0198	R02-A0902	R01	R02	R01-04	R02-22	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00006	exact-text-duplicate	R01-A0202	R01-A0739	R01	R01	R01-04	R01-05	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00007	exact-text-duplicate	R01-A0220	R01-A0241	R01	R01	R01-04	R01-04	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker	catalog/queries.md	review-together-never-auto-merge
REL-00008	exact-text-duplicate	R01-A0220	R01-A0250	R01	R01	R01-04	R01-04	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker	catalog/queries.md	review-together-never-auto-merge
REL-00009	exact-text-duplicate	R01-A0220	R01-A0265	R01	R01	R01-04	R01-04	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker	catalog/queries.md	review-together-never-auto-merge
REL-00010	exact-text-duplicate	R01-A0269	R02-A0838	R01	R02	R01-04	R02-21	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00011	exact-text-duplicate	R01-A0272	R02-A0841	R01	R02	R01-04	R02-21	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00012	exact-text-duplicate	R01-A0379	R01-A0384	R01	R01	R01-05	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker	eqp/area	review-together-never-auto-merge
REL-00013	exact-text-duplicate	R01-A0381	R01-A0386	R01	R01	R01-05	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00014	exact-text-duplicate	R01-A0389	R01-A0395	R01	R01	R01-05	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker	eqp/area	review-together-never-auto-merge
REL-00015	exact-text-duplicate	R01-A0392	R01-A0398	R01	R01	R01-05	R01-05	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00016	exact-text-duplicate	R01-A0432	R02-A0113	R01	R02	R01-05	R02-08	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00017	exact-text-duplicate	R01-A0432	R02-A0880	R01	R02	R01-05	R02-21	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00018	exact-text-duplicate	R01-A0479	R02-A0857	R01	R02	R01-05	R02-21	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker	mes_last_seen_at	review-together-never-auto-merge
REL-00019	exact-text-duplicate	R01-A0564	R02-A0875	R01	R02	R01-05	R02-21	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00020	exact-text-duplicate	R01-A0704	R02-A0008	R01	R02	R01-05	R02-07	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00021	exact-text-duplicate	R01-A0856	R01-A0862	R01	R01	R01-07	R01-08	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	no-explicit-version-marker	query.sql	review-together-never-auto-merge
REL-00022	exact-text-duplicate	R01-A0858	R01-A0864	R01	R01	R01-07	R01-08	1.0000	1.0000	1.0000	1.0000	different-domain-scope	no-explicit-version-marker		retain-separate-scope-and-review-link
REL-00023	exact-text-duplicate	R01-A0860	R01-A0866	R01	R01	R01-07	R01-08	1.0000	1.0000	1.0000	1.0000	different-domain-scope	no-explicit-version-marker		retain-separate-scope-and-review-link
REL-00024	exact-text-duplicate	R01-A0921	R01-A0923	R01	R01	R01-10	R01-10	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00025	exact-text-duplicate	R01-A0921	R01-A0926	R01	R01	R01-10	R01-10	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00026	exact-text-duplicate	R01-A0986	R01-A0987	R01	R01	R01-10	R01-10	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00027	exact-text-duplicate	R01-A0986	R01-A0988	R01	R01	R01-10	R01-10	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00028	exact-text-duplicate	R01-A0986	R01-A0989	R01	R01	R01-10	R01-10	1.0000	1.0000	1.0000	1.0000	same-scope	no-explicit-version-marker		review-together-never-auto-merge
REL-00029	exact-text-duplicate	R01-A1037	R01-A1981	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00030	exact-text-duplicate	R01-A1038	R01-A1982	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00031	exact-text-duplicate	R01-A1039	R01-A1983	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00032	exact-text-duplicate	R01-A1040	R01-A1984	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00033	exact-text-duplicate	R01-A1041	R01-A1985	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00034	exact-text-duplicate	R01-A1043	R01-A1987	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00035	exact-text-duplicate	R01-A1044	R01-A1988	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00036	exact-text-duplicate	R01-A1045	R01-A1989	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00037	exact-text-duplicate	R01-A1046	R01-A1990	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00038	exact-text-duplicate	R01-A1048	R01-A1992	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00039	exact-text-duplicate	R01-A1049	R01-A1993	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00040	exact-text-duplicate	R01-A1050	R01-A1994	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00041	exact-text-duplicate	R01-A1051	R01-A1995	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00042	exact-text-duplicate	R01-A1052	R01-A1996	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00043	exact-text-duplicate	R01-A1053	R01-A1997	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00044	exact-text-duplicate	R01-A1054	R01-A1998	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00045	exact-text-duplicate	R01-A1055	R01-A1999	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00046	exact-text-duplicate	R01-A1056	R01-A2000	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00047	exact-text-duplicate	R01-A1057	R01-A2001	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00048	exact-text-duplicate	R01-A1058	R01-A2002	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00049	exact-text-duplicate	R01-A1059	R01-A2003	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00050	exact-text-duplicate	R01-A1060	R01-A2004	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00051	exact-text-duplicate	R01-A1061	R01-A2005	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00052	exact-text-duplicate	R01-A1062	R01-A2006	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00053	exact-text-duplicate	R01-A1063	R01-A2007	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00054	exact-text-duplicate	R01-A1064	R01-A2008	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00055	exact-text-duplicate	R01-A1065	R01-A2009	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00056	exact-text-duplicate	R01-A1074	R01-A2018	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00057	exact-text-duplicate	R01-A1075	R01-A2019	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00058	exact-text-duplicate	R01-A1076	R01-A2020	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00059	exact-text-duplicate	R01-A1077	R01-A2021	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00060	exact-text-duplicate	R01-A1078	R01-A2022	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00061	exact-text-duplicate	R01-A1079	R01-A2023	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00062	exact-text-duplicate	R01-A1080	R01-A2025	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers	rcs/riot	review-together-never-auto-merge
REL-00063	exact-text-duplicate	R01-A1081	R01-A2026	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00064	exact-text-duplicate	R01-A1083	R01-A2028	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00065	exact-text-duplicate	R01-A1084	R01-A2029	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00066	exact-text-duplicate	R01-A1087	R01-A2031	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00067	exact-text-duplicate	R01-A1088	R01-A2032	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00068	exact-text-duplicate	R01-A1089	R01-A2033	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00069	exact-text-duplicate	R01-A1090	R01-A2034	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers	rcs/riot	review-together-never-auto-merge
REL-00070	exact-text-duplicate	R01-A1091	R01-A2035	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00071	exact-text-duplicate	R01-A1092	R01-A2036	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00072	exact-text-duplicate	R01-A1093	R01-A2037	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00073	exact-text-duplicate	R01-A1094	R01-A2038	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00074	exact-text-duplicate	R01-A1095	R01-A2039	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00075	exact-text-duplicate	R01-A1096	R01-A2040	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00076	exact-text-duplicate	R01-A1097	R01-A2041	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00077	exact-text-duplicate	R01-A1104	R01-A2047	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00078	exact-text-duplicate	R01-A1105	R01-A2048	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00079	exact-text-duplicate	R01-A1118	R01-A2060	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00080	exact-text-duplicate	R01-A1119	R01-A2061	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers	r-03,r-05	review-together-never-auto-merge
REL-00081	exact-text-duplicate	R01-A1120	R01-A2062	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00082	exact-text-duplicate	R01-A1123	R01-A2065	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00083	exact-text-duplicate	R01-A1127	R01-A2068	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00084	exact-text-duplicate	R01-A1129	R01-A2070	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00085	exact-text-duplicate	R01-A1131	R01-A2072	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00086	exact-text-duplicate	R01-A1132	R01-A2073	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00087	exact-text-duplicate	R01-A1133	R01-A2074	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers	r-11/r-12/r-13	review-together-never-auto-merge
REL-00088	exact-text-duplicate	R01-A1134	R01-A2075	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00089	exact-text-duplicate	R01-A1138	R03-A0100	R01	R03	R01-13	R03-01	1.0000	1.0000	1.0000	1.0000	compatible-domain-scope	different-version-or-scope-markers		retain-separate-version-scope-and-review-link
REL-00090	exact-text-duplicate	R01-A1138	R08-A0670	R01	R08	R01-13	R08-40	1.0000	1.0000	1.0000	1.0000	different-domain-scope	different-version-or-scope-markers		retain-separate-version-scope-and-review-link
REL-00091	exact-text-duplicate	R01-A1142	R01-A2076	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers	r-12,r-15	review-together-never-auto-merge
REL-00092	exact-text-duplicate	R01-A1143	R01-A2077	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00093	exact-text-duplicate	R01-A1144	R01-A2078	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00094	exact-text-duplicate	R01-A1145	R01-A2079	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00095	exact-text-duplicate	R01-A1146	R01-A2080	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00096	exact-text-duplicate	R01-A1147	R01-A2081	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00097	exact-text-duplicate	R01-A1148	R01-A2082	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00098	exact-text-duplicate	R01-A1149	R01-A2083	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
REL-00099	exact-text-duplicate	R01-A1150	R01-A2084	R01	R01	R01-13	R01-14	1.0000	1.0000	1.0000	1.0000	same-scope	same-version-markers		review-together-never-auto-merge
