approval_batch_id	review_domain	required_owner_or_evidence_role	candidate_rows	semantic_review_units	source_documents	blocking_conflict_pointers	suggested_sequence	review_instruction	recheck_disposition	recheck_reason
AP-CHG-BO	charging-parking	business-owner-and-final-approver	11	11	5		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-CHG-DOM	charging-parking	domain-owner-and-final-approver	8	8	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-CHG-IF	charging-parking	interface-or-data-contract-owner-and-final-approver	4	3	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-CHG-SEC	charging-parking	security-identity-owner-and-final-approver	1	1	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-CHG-SRC-01	charging-parking	source-custodian-and-final-approver	120	120	15		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-CHG-SRC-02	charging-parking	source-custodian-and-final-approver	180	102	11		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-CHG-SRC-03	charging-parking	source-custodian-and-final-approver	6	3	2		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-DSP-AGR	fleet-dispatch	agreement-custodian-and-final-approver	2	2	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-DSP-BO	fleet-dispatch	business-owner-and-final-approver	2	2	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
AP-DSP-PO	fleet-dispatch	product-owner-and-final-approver	4	4	1		after-candidate-baseline-entry-formation	按语义审阅簇共同查看多来源证据，但逐条确认范围、版本/哈希和规范文本；本建议不分配 REQ ID、不合并声明、不构成批准。	retired-as-final-approval-batch	面向12452条旧来源中的6449条未批准候选，未绑定当前348个REQ、精确当前文本、范围与验证方法；保留其领域和责任角色作为分批参考，不继承批准单位。
